doc_id,doi,title,reaction_system,raw_reaction_system,confidence,rationale,evidence_terms,status
doc_0020,,10.1002/adma.201805405,CO2RR,CO2RR,0.92,"The abstract explicitly discusses the electrochemical carbon dioxide reduction reaction (CO2RR), reporting Cu nanoparticle electrocatalysts that lower overpotential and increase faradaic efficiency for products from CO2 (CH4 and C2H4). It repeatedly mentions CO2RR, CO binding energy, and CO reduction performance, indicating CO2 electroreduction is the paper's main reaction.","['carbon dioxide reduction', 'CO2RR', 'electrocatalysts', 'Cu nanoparticles', 'methane (CH4)', 'ethylene (C2H4)', 'faradaic efficiency', 'onset potential', 'CO binding energy', 'CO RR performance']",ok
doc_0021,,10.1002/adma.201805617,CO2RR,CO2RR,0.7,"The review explicitly treats both the oxygen reduction reaction (ORR) and the carbon dioxide reduction reaction (CO2RR), discussing Pt-based alloys for ORR and Cu-based nanoalloys for CO2RR. Because CO2 electroreduction (CO2RR) is one of the two central reaction systems discussed throughout the abstract and conclusion, I label the paper as CO2RR (note: ORR is also a major focus).","['electrochemical oxygen reduction reaction (ORR)', 'carbon dioxide reduction reaction (CO2RR)', 'CO2 electrolyzers', 'Pt-based nanoalloy electrocatalysts', 'Cu-based nanoalloy catalysts', 'alloy nanocatalysts for the ORR and the CO2RR']",ok
doc_0022,,10.1002/adma.201808276,unknown,unknown,0.25,"Only a DOI string was provided as the title and no abstract or conclusion text is available. There is insufficient information to determine whether the paper focuses on CO2RR, CORR, another electrochemical reaction, or is non-reaction-focused.",['10.1002/adma.201808276'],ok
doc_0023,,10.1002/adma.201870088,unknown,unknown,0.2,"No title/abstract/conclusion content available (only a DOI-like identifier). Insufficient information to determine whether the paper focuses on CO2RR, CORR, another electrochemical reaction, or is non-reaction/materials/theory focused.",[],ok
doc_0024,,10.1002/adma.201902033,CO2RR,CO2RR,0.9,"The abstract explicitly describes high-temperature CO2 electrolysis in solid-oxide electrolysis cells (SOECs) and discusses electrochemically converting CO2 to fuels, cathode/electrolyte/anode materials for CO2 electrolysis, and related challenges. This clearly identifies CO2 electroreduction (CO2RR) as the paper's main reaction system.","['CO2 electrolysis', 'CO2 reduction', 'solid-oxide electrolysis cells (SOECs)', 'converting CO2 to fuels', 'high-temperature electrolysis']",ok
doc_0025,,10.1002/adma.201902868,CO2RR,CO2RR,0.88,"The abstract explicitly describes photocatalytic CO2 reduction converting CO2 into value-added products (CO, CH4, methanol) and reports improved yields for CO and CH4. The central reaction system is CO2 reduction (albeit photocatalytic rather than electrochemical), so it is classified under CO2RR as the paper’s main reaction.","['photocatalytic CO2 reduction', 'convert CO2 to value-added products', 'CO', 'CH4', 'methane', 'methanol', 'CdS hollow spheres', 'adsorbing and activating CO2']",ok
doc_0026,,10.1002/adma.201903470,CO2RR,CO2RR,0.95,"The abstract explicitly describes electrochemical CO2 reduction (C O2RR) as the main focus: it reports CO Faradaic efficiency, CO current density, CO desorption, and COOH formation, and discusses catalysts (CoPc©Fe-N-C) to improve CO2 reduction performance.","['CO2 reduction reaction', 'CO2RR', 'CO Faradaic efficiency', 'CO current density', 'CO desorption', 'COOH formation', 'Fe-N-C', 'CoPc©Fe-N-C']",ok
doc_0027,,10.1002/adma.201905622,other_reaction,other_reaction,0.87,"The abstract explicitly focuses on bifunctional oxygen electrocatalysis, citing oxygen reduction reaction (ORR) and oxygen evolution reaction (OER) and application in rechargeable zinc–air batteries. No mention of CO2 or CO electroreduction is present, so the central reaction system is oxygen-related electrocatalysis.","['oxygen electrocatalysis', 'oxygen reduction', 'oxygen evolution', 'bifunctional oxygen reduction/evolution reactions', 'zinc–air batteries']",ok
doc_0028,,10.1002/adma.201906193,CO2RR,CO2RR,0.9,"The abstract repeatedly and explicitly discusses CO2 electrolysis and CO2 conversion (solid oxide electrolysis cell, CO2 electrolysis performance and stability), indicating the paper’s main reaction system is carbon dioxide electroreduction/electrolysis.","['CO2 electrolysis', 'CO2 conversion', 'CO2 electrolysis performance', 'solid oxide electrolysis cell (SOEC)', 'electrochemically', 'CO2 electrolysis via SOEC']",ok
doc_0029,,10.1002/adma.201908398,CO2RR,CO2RR,0.95,"The title/abstract and conclusion repeatedly and explicitly discuss electrochemical reduction of CO2 (CO2RR) on Cu-based catalysts, mechanisms, product distributions (CO, HCOO−, CH4, C2H4, C2H5OH), and strategies to improve CO2RR performance. This identifies CO2 electroreduction as the central reaction system.","['CO2RR', 'electrochemical reduction of carbon dioxide', 'CO2 gas', 'Cu-based electrocatalysts', 'CO', 'HCOO−', 'CH4', 'C2H4', 'C2H5OH', 'selectivity / Faradaic efficiency']",ok
doc_0030,,10.1002/adma.202000992,CO2RR,CO2RR,0.98,"Abstract repeatedly describes electrochemical CO2 reduction to formate (mentions CO2 reduction, CO2RR, formate selectivity, Faradaic efficiency, CO poisoning alleviation via PdAg alloying). This clearly identifies CO2 electroreduction as the paper's main reaction system.","['CO2 reduction', 'CO2RR', 'formate', 'formic acid', 'Faradaic efficiency', 'CO poisoning', 'PdAg alloy', 'zero overpotential']",ok
doc_0031,,10.1002/adma.202001848,CO2RR,CO2RR,0.95,"The title/abstract and conclusion explicitly focus on the electrochemical CO2 reduction reaction (CO2RR) and single-atom catalysts for CO2RR. The text repeatedly discusses CO2 activation, CO as the primary product of CO2RR on SACs, CO2RR performance, mechanisms, and challenges in developing SACs for CO2RR.","['CO2 reduction reaction', 'C O2 RR', 'CO2RR', 'CO accounts for the major product', 'CO2RR performance', 'CO product', 'single-atom catalysts for CO2RR', 'CO2 activation']",ok
doc_0032,,10.1002/adma.202002382,unknown,unknown,0.12,"Only a DOI string was provided; the title, abstract, and conclusion text are missing. There is insufficient information to determine whether the paper focuses on CO2RR, CORR, another electrochemical reaction, or is non-reaction-focused.","['10.1002/adma.202002382', 'no title text', 'no abstract', 'no conclusion']",ok
doc_0033,,10.1002/adma.202002430,CO2RR,CO2RR,0.95,"The abstract explicitly describes development of single-atom Fe-N-C catalysts for CO2 electroreduction (CO2ER), reports CO Faradaic efficiency (up to 96%), turnover frequency, CO formation intermediates, and even a Zn–CO2 battery. The main reaction system is clearly CO2 reduction to CO.","['CO2 electroreduction', 'CO2ER', 'CO Faradaic efficiency', 'CO formation', 'Fe-N-C single-atom catalyst', 'CO2', 'Zn-CO2 battery']",ok
doc_0034,,10.1002/adma.202005113,CO2RR,CO2RR,0.96,"The abstract explicitly describes electrochemical CO2 reduction (CO2RR) to formate (HCOO−), reports CO2 conversion selectivity and Faradaic efficiencies, and discusses suppression of H2 evolution as a side reaction during CO2RR. CO2RR is clearly the central reaction system.","['CO2 electroreduction', 'CO2RR', 'formate', 'HCOO−', 'CO2 conversion', 'Faradaic efficiency', 'hydrogen evolution reaction (side reaction)']",ok
doc_0035,,10.1002/adma.202005821,CO2RR,CO2RR,0.95,"The abstract explicitly describes electrochemical CO2 reduction to formate (CO2RR). It repeatedly references CO2 reduction, formate production, and even uses the term “electrochemical CO2 reduction reaction (CO2RR)”. The work focuses on Pd–Ag alloy catalysts for selective formate formation and stability against CO poisoning, indicating CO2 electroreduction is the central reaction.","['electrochemical CO2 reduction', 'formate production', 'CO2RR', 'palladium–silver alloy nanowires', 'CO tolerance', 'selective stabilization of reaction intermediates', 'formic acid']",ok
doc_0036,,10.1002/adma.202008151,other_reaction,other_reaction,0.78,"This is a broad review of single-atom electrocatalysts (SACs) covering multiple electrocatalytic reactions (ORR, HER, OER, oxidation of small organics, CO2RR, NRR). It is not focused specifically on CO2 electroreduction or CO electroreduction as the paper-level main reaction system; instead several other electrochemical reactions (ORR, HER, OER, etc.) are central.","['single-atom catalysts (SACs)', 'oxygen reduction reaction (ORR)', 'hydrogen evolution reaction (HER)', 'oxygen evolution reaction (OER)', 'carbon dioxide reduction reaction (CO2RR)', 'nitrogen reduction reaction (NRR)', 'electrocatalytic applications', 'CO production', 'HCOO- (formate)']",ok
doc_0037,,10.1002/adma.202102576,non_reaction,non_reaction,0.8,"The provided conclusion describes a review of single-atom and dual-atom catalysts (SACs and DASCs), their characterization, synthetic strategies, and broad catalytic applications (energy storage/conversion, chemical synthesis, environmental protection). No specific electrochemical reaction (no mention of CO2, CO, CO2RR, CORR, HER, OER, ORR, etc.) is identified, so the paper is a materials/catalysis review rather than focused on a particular electrochemical reaction system.","['SACs', 'DASCs', 'single-atom catalysts', 'catalytic applications', 'energy storage and conversion', 'chemical synthesis', 'environmental protection']",ok
doc_0038,,10.1002/adma.202103150,CO2RR,CO2RR,0.98,"The title/abstract and conclusion repeatedly describe electrochemical CO2 reduction to multicarbon (C2) products, discuss CO–CO coupling, Faradaic efficiencies for C2 production, and explicitly refer to ‘CO2 reduction’ and ‘CO2 to C2’ performance. The paper focuses on catalysts for electrochemical CO2RR at high current density.","['electrochemical CO2 reduction', 'CO–CO coupling', 'C2 products', 'Faradaic efficiency toward C2 products', 'CO2 to C2 performance', 'Keywords: CO2 reduction reaction']",ok
doc_0039,,10.1002/aenm.201402031,other_reaction,other_reaction,0.91,"The title, abstract, and conclusion describe development of Ni–Co nanowire catalysts for complementary water splitting: explicit mention of OER (oxygen evolution reaction) and HER (hydrogen evolution reaction), an all-nanowire electrolyzer, and hydrogen production. There is no discussion of CO2 or CO electroreduction, so the central reaction system is water splitting/HER/OER rather than CO2RR or CORR.","['water splitting', 'oxygen evolution reaction (OER)', 'hydrogen evolution reaction (HER)', 'all-nanowire based water splitting electrolyzer', 'hydrogen production', 'water oxidation', 'water reduction']",ok
doc_0040,,10.1002/aenm.201601979,other_reaction,other_reaction,0.88,The abstract focuses on heteroatom-doped nanoporous carbon catalysts as substitutes for Pt in reactions such as the oxygen reduction reaction (ORR) for fuel cells and metal–air batteries and the tri-iodide reduction reaction (IRR) for dye-sensitized solar cells. There is no mention of CO2 or CO electroreduction (CO2RR/CORR). Thus the paper centers on other electrochemical reactions (ORR/IRR).,"['oxygen reduction reaction', 'ORR', 'tri-iodide reduction reaction', 'IRR', 'fuel cells', 'metal–air batteries', 'dye sensitized solar cells', 'DSSCs', 'heteroatom-doped carbon', 'M-Nx']",ok
doc_0041,,10.1002/aenm.201602114,CO2RR,CO2RR,0.93,"The abstract states the catalyst reduces CO2 to ethylene with a reported Faradaic efficiency and current density; the conclusion discusses selectivity toward ethylene and other CO2 reduction products (ethanol, n-propanol) formed during electrolysis. This clearly identifies CO2 electroreduction as the main reaction.","['reducing CO2 to ethylene', 'Faradaic efficiency', 'electrolysis', 'selectivity toward ethylene', 'ethanol and n-propanol observed']",ok
doc_0042,,10.1002/aenm.201700193,other_reaction,other_reaction,0.95,The abstract and conclusion explicitly describe electrocatalytic performance for oxygen reduction reaction (ORR) and hydrogen evolution reaction (HER). No CO2 or CO electroreduction is mentioned; the work centers on ORR and HER electrocatalysis.,"['oxygen reduction reaction', 'ORR', 'hydrogen evolution reaction', 'HER', 'electrocatalyst', 'CuCo@NC', 'oxygen reduction', 'hydrogen evolution']",ok
doc_0043,,10.1002/aenm.201703487,CO2RR,CO2RR,0.95,"The title/abstract and conclusion explicitly describe electrochemical reduction of CO2 to CO using Fe atom sites on N-doped graphene; the work focuses on CO2 adsorption, activation, mechanism and catalyst performance for CO production.","['electrochemical reduction of CO2', 'reduction of CO2 to CO', 'CO2 reduction reaction', 'electrocatalyst for CO2 conversion', 'CO conversion', 'CO2 adsorption and activation', 'Fe-N4 sites']",ok
doc_0044,,10.1002/aenm.201801280,CO2RR,CO2RR,0.92,"The abstract and conclusion explicitly describe electrocatalytic reduction of CO2 to CO, report CO faradaic efficiencies, overpotentials, TOF and TON for CO production, and discuss CO2 catalysis and CO selectivity. The central reaction system is CO2 electroreduction (to CO).","['electrochemical reduction of CO2', 'reduction of CO2 to CO', 'CO faradaic efficiency', 'CO production', 'CO2 catalysis', 'overpotential for CO generation', 'TOF and TON for CO']",ok
doc_0045,,10.1002/aenm.201801926,other_reaction,other_reaction,0.86,"The abstract and conclusion repeatedly describe oxygen evolution reaction (OER) and hydrogen evolution reaction (HER) and overall/seawater electrolysis for hydrogen production. These are water-splitting reactions, not CO2 or CO electroreduction.","['water electrolysis', 'seawater electrolysis', 'overall seawater splitting', 'oxygen evolution reaction (OER)', 'hydrogen evolution reaction (HER)', 'hydrogen production', 'electrocatalysts']",ok
doc_0046,,10.1002/aenm.201802238,CO2RR,CO2RR,0.9,"The abstract and conclusion explicitly state the study evaluates catalysts for CO2 electrocatalytic reduction to CO (mentions CO2 electrocatalytic reduction, CO production, CO selectivity, CO2 to *COOH conversion, Faradaic efficiencies for CO). The work focuses on CO2RR rather than CO electroreduction or another reaction.","['CO2 electrocatalytic reduction', 'CO production', 'CO selectivity', 'faradaic efficiency (FE) for CO', 'CO2 to *COOH conversion', 'low overpotential for CO formation']",ok
doc_0047,,10.1002/aenm.201803536,CO2RR,CO2RR,0.95,"The title/abstract and conclusion repeatedly describe conversion of CO2 to CO, solar-driven CO2 reduction, and CO2 reduction performance metrics (solar-to-fuel efficiency, catalytic conversion). The work focuses on CO2 electrochemical/photoelectrochemical reduction using MoS2 catalyst in a hybrid electrolyte, so the main reaction system is carbon dioxide electroreduction (CO2RR).","['CO2 reduction', 'convert CO2 to CO', 'CO2 saturated hybrid electrolyte', 'solar-driven electrocatalysis', 'solar-to-fuel efficiency', 'catalytic conversion efficiencies', 'CO2 reaction rate', 'CO2 reduction performance']",ok
doc_0048,,10.1002/aenm.201900072,CO2RR,CO2RR,0.93,"The title/abstract/conclusion explicitly focus on electrochemical CO2 reduction (CO2RR), reporting CO production rate, Faradaic efficiency, onset potential, and discussing catalyst design and stability specifically for CO2RR.","['CO2 reduction', 'CO2RR', 'CO production rate', 'Faradaic efficiency', 'CO production', 'electrocatalyst for CO2RR']",ok
doc_0049,,10.1002/aenm.201901228,CO2RR,CO2RR,0.96,"The abstract and conclusion explicitly describe electroreduction of CO2 (CO2RR) to ethylene and other hydrocarbons, reporting Faradaic efficiencies, C2+ selectivity, and operation under CO2 reduction conditions. The conclusion repeatedly references CO2RR and CO2 reduction mechanisms and performance.","['electroreduction of CO2', 'CO2 reduction', 'CO2RR', 'ethylene', 'C2+ products', 'Faradaic efficiency', 'gas diffusion electrode', 'current density (mA cm^-2)', 'CO2']",ok
doc_0050,,10.1002/aenm.201901396,CO2RR,CO2RR,0.92,"The abstract and conclusion repeatedly describe electrocatalyst development and performance for CO2 reduction (CO2 reduction reaction) producing CO, mention COOH* intermediates, CO conversion efficiency, and suppressing hydrogen evolution—all indicating CO2 electroreduction as the paper's main reaction.","['CO2 reduction', 'CO2 reduction to CO', 'CO conversion', 'COOH* intermediates', 'electrocatalyst for CO2 reduction', 'faradic efficiency for CO', 'suppress hydrogen evolution', 'CO2 reduction reaction']",ok
doc_0051,,10.1002/aenm.201902433,other_reaction,other_reaction,0.88,"The paper centers on oxygen surface exchange kinetics of mixed ionic–electronic conducting oxide thin films (k_chem) and uses pO2 steps/optical transmission relaxation to quantify oxygen exchange. This is about oxygen exchange/oxygen reduction behavior of MIEC electrodes rather than CO2 or CO electroreduction, so it fits the 'other_reaction' category (oxygen-related electrochemistry).","['oxygen surface exchange', 'k_chem', 'mixed ionic and electronic conducting (MIEC) oxides', 'pO2 steps', 'optical transmission relaxation (OTR)', 'oxygen exchange kinetics', 'perovskite/Ruddlesden−Popper/fluorite thin films']",ok
doc_0052,,10.1002/aenm.201903879,CO2RR,CO2RR,0.78,"The abstract and conclusion explicitly focus on photocatalytic CO2 reduction (CO2 photoreduction) as the central chemical transformation: design of semiconductor photocatalysts and atomic-level active sites to drive CO2 reduction to solar fuels. Although the work emphasizes photocatalysis (light-driven) rather than electrochemical cells, the primary reaction is the reduction of CO2, so it is classified under CO2RR.","['photocatalytic CO2 reduction', 'CO2 photoreduction', 'reduction of CO2', 'photocatalyst', 'solar fuel']",ok
doc_0053,,10.1002/aenm.201970107,unknown,unknown,0.25,"Only a DOI-like title was provided with no abstract or conclusion content. There is insufficient information to determine whether the paper focuses on CO2RR, CORR, another electrochemical reaction, or is non-reaction/materials/theory focused.",[],ok
doc_0055,,10.1002/aenm.202002592,other_reaction,other_reaction,0.88,"The abstract repeatedly and explicitly discusses the oxygen reduction reaction (ORR), development of Co-N-C catalysts for ORR, PEM fuel cell cathodes, and the four-electron ORR pathway. This is not CO2 or CO electroreduction.","['oxygen reduction reaction', 'ORR', 'four-electron ORR', 'Proton exchange membrane fuel cells', 'PEMFC', 'cathodic oxygen reduction', 'Co-pyridinic N-C', 'Co-N-C', 'oxygenated species']",ok
doc_0056,,10.1002/aenm.202002928,CO2RR,CO2RR,0.94,"The abstract repeatedly describes photocatalytic CO2 reduction (CRR) to CO, reporting CO production rates, CO selectivity, and mechanistic details for CO2 -> CO via a COOH intermediate. The focus is clearly on CO2 electro/photocatalytic reduction rather than CO feed reduction or other reactions.","['photocatalytic CO2 reduction', 'CRR', 'CO2 to CO conversion', 'CO selectivity (92.5%)', 'CO production rate (11.8 µmol g^-1 h^-1)', 'adsorbed COOH intermediate', 'suppression of H2 desorption', 'Ni single atom photocatalyst']",ok
doc_0057,,10.1002/aenm.202003159,non_reaction,non_reaction,0.72,"The paper is a review of 2D photocatalysts for photocatalytic CO2 reduction (light-driven CO2 conversion/photofixation), not an electrochemical CO2 or CO electroreduction study. The abstract and conclusion repeatedly discuss photocatalysis, photogenerated charge carriers, and CO2 photocatalytic conversion rather than electrochemical/ electrocatalytic CO2RR or CORR.","['photocatalytic CO2 reduction', 'CO2 photocatalytic conversion', '2D photocatalysts', 'photofixation of CO2', 'photogenerated charge carriers']",ok
doc_0059,,10.1002/aenm.202101424,CO2RR,CO2RR,0.93,"Both the abstract and conclusion repeatedly describe carbon dioxide electroreduction (CO2RR) in a flow cell/gas diffusion electrode, reporting Faradaic efficiencies and products (CH4 and C2+), indicating CO2RR is the paper’s main reaction system.","['carbon dioxide electro reduction', 'CO2RR', 'CO2', 'CH4', 'C2+', 'flow cell', 'gas diffusion electrodes', 'Faradaic efficiencies']",ok
doc_0060,,10.1002/ange.201107352,unknown,unknown,0.25,"Only a DOI-like string was provided as the title and both abstract and conclusion are missing. There is no information about the chemical reaction or system studied, so the reaction system cannot be determined from the supplied text.","['title contains only DOI-like string', 'abstract missing', 'conclusion missing']",ok
doc_0061,,10.1002/ange.201203607,CO2RR,CO2RR,0.75,"The abstract focuses on the reduction of CO2 (specifically the reduction of CO2 to CO) and discusses methods including electrochemical reduction among others. The central chemical transformation is CO2 reduction, so CO2 electroreduction (CO2RR) is the best-matching label.","['CO2 reduction', 'reduction of CO2 to CO', 'electrochemical', 'CO as a chemical feedstock', 'sequestration']",ok
doc_0062,,10.1002/ange.201205741,unknown,unknown,0.25,"Only a DOI string was provided as the title and both the abstract and conclusion are empty. There is insufficient information to determine whether the paper focuses on CO2RR, CORR, another electrochemical reaction, or is non-reaction-focused.",[],ok
doc_0063,,10.1002/ange.201208750,unknown,unknown,0.08,"No title, abstract, or conclusion text was provided—only a DOI-like identifier. There is insufficient information to determine whether the paper focuses on CO2RR, CORR, another electrochemical reaction, or is non-reaction/materials/theory focused.",[],ok
doc_0064,,10.1002/ange.201301470,both,both,0.9,"The abstract explicitly discusses the electroreduction of CO2 or CO to hydrocarbons on Cu electrodes and compares behavior for CO2 and CO reduction, indicating both CO2RR and CORR are central to the paper (mechanistic formulation for production of C1–C2 products).","['electroreduction', 'CO2', 'CO', 'Cu electrodes', 'CH4', 'EtOH', 'C2H4', 'C1 species', 'product distribution']",ok
